Date,Global Revenue,UACN Revenue,EMEA Revenue,LATM Revenue,APAC Revenue,UACN Members,EMEA  Members,LATM Members,APAC Members,UACN RPU,EMEA RPU,LATM  RPU,APAC  RPU,Domestic Members,Domestic Revenue,International Members,International Revenue,Domestic Free Trialers,Interntaional Free Trialers,Netflix Global Users
mar/12,869.791.000,0,0,0,0,0,0,0,0,0,0,0,0,506.665.000 ,506665000,2409000,43425000,0,0, 509.074.000 
jun/12,889.163.000,0,0,0,0,0,0,0,0,0,0,0,0,532.705.000 ,532705000,3024000,64973000,0,0, 535.729.000 
